loading words... finished loading 5839 legal words.
considered guess BAWTY (352/5839), target ABETS (1/5839), score 0 -> 73
considered guess BAYED (353/5839), target ABETS (1/5839), score 0 -> 137
considered guess BAYOU (354/5839), target ABETS (1/5839), score 0 -> 991
considered guess BEACH (355/5839), target ABETS (1/5839), score 0 -> 237
considered guess BEADS (356/5839), target ABETS (1/5839), score 0 -> 41
considered guess BEADY (357/5839), target ABETS (1/5839), score 0 -> 234
considered guess BEAKS (358/5839), target ABETS (1/5839), score 0 -> 29
considered guess BEAKY (359/5839), target ABETS (1/5839), score 0 -> 123
considered guess BEAMS (360/5839), target ABETS (1/5839), score 0 -> 40
considered guess BEAMY (361/5839), target ABETS (1/5839), score 0 -> 179
considered guess BEANO (362/5839), target ABETS (1/5839), score 0 -> 342
considered guess BEANS (363/5839), target ABETS (1/5839), score 0 -> 34
considered guess BEARD (364/5839), target ABETS (1/5839), score 0 -> 337
considered guess BEARS (365/5839), target ABETS (1/5839), score 0 -> 72
considered guess BEAST (366/5839), target ABETS (1/5839), score 0 -> 2
considered guess BEATS (367/5839), target ABETS (1/5839), score 0 -> 3
considered guess BEAUS (368/5839), target ABETS (1/5839), score 0 -> 31
considered guess BEAUT (369/5839), target ABETS (1/5839), score 0 -> 18
considered guess BEAUX (370/5839), target ABETS (1/5839), score 0 -> 128
considered guess BECAP (371/5839), target ABETS (1/5839), score 0 -> 259
considered guess BECKS (372/5839), target ABETS (1/5839), score 0 -> 167
considered guess BEDIM (373/5839), target ABETS (1/5839), score 0 -> 1022
considered guess BEFIT (374/5839), target ABETS (1/5839), score 0 -> 158
considered guess BEFOG (375/5839), target ABETS (1/5839), score 0 -> 991
considered guess BEGAN (376/5839), target ABETS (1/5839), score 0 -> 247
considered guess BEGAT (377/5839), target ABETS (1/5839), score 0 -> 13
considered guess BEGIN (378/5839), target ABETS (1/5839), score 0 -> 1011
considered guess BEGOT (379/5839), target ABETS (1/5839), score 0 -> 184
considered guess BEGUM (380/5839), target ABETS (1/5839), score 0 -> 803
considered guess BEGUN (381/5839), target ABETS (1/5839), score 0 -> 905
considered guess BEIGY (382/5839), target ABETS (1/5839), score 0 -> 740
considered guess BEING (383/5839), target ABETS (1/5839), score 0 -> 961
considered guess BELAY (384/5839), target ABETS (1/5839), score 0 -> 219
considered guess BELCH (385/5839), target ABETS (1/5839), score 0 -> 966
considered guess BELGA (386/5839), target ABETS (1/5839), score 0 -> 292
considered guess BELON (387/5839), target ABETS (1/5839), score 0 -> 1229
considered guess BELOW (388/5839), target ABETS (1/5839), score 0 -> 1092
considered guess BELTS (389/5839), target ABETS (1/5839), score 0 -> 17
considered guess BEMAS (390/5839), target ABETS (1/5839), score 0 -> 35
considered guess BEMIX (391/5839), target ABETS (1/5839), score 0 -> 747
considered guess BENCH (392/5839), target ABETS (1/5839), score 0 -> 894
considered guess BENDS (393/5839), target ABETS (1/5839), score 0 -> 240
considered guess BENDY (394/5839), target ABETS (1/5839), score 0 -> 821
considered guess BENTO (395/5839), target ABETS (1/5839), score 0 -> 171
considered guess BENTS (396/5839), target ABETS (1/5839), score 0 -> 16
considered guess BERGS (397/5839), target ABETS (1/5839), score 0 -> 251
considered guess BERKS (398/5839), target ABETS (1/5839), score 0 -> 243
considered guess BERMS (399/5839), target ABETS (1/5839), score 0 -> 290
considered guess BERTH (400/5839), target ABETS (1/5839), score 0 -> 152
considered guess BERYL (401/5839), target ABETS (1/5839), score 0 -> 1145
considered guess BESOM (402/5839), target ABETS (1/5839), score 0 -> 368
considered guess BESOT (403/5839), target ABETS (1/5839), score 0 -> 37
